,log_spy_change,22_IV_AVG,5_IV_AVG,1_IV_AVG,jobless_claims,day_of_week,day_of_month,SPY_VOL,VIX_level,60_VIX_AVG
2020-03-03,-0.029050362163794956,0.24767573894500963,0.25352113419980393,0.2930418759026247,219000.0,1.0,3.0,300139100.0,36.82,16.319499999999998
2020-12-08,0.002921888794828853,0.24544204720427293,0.24757437771656637,0.2127482328563831,873000.0,1.0,8.0,42458900.0,20.68,26.5735
2020-03-10,0.05045058576092979,0.24942649519485283,0.27165109914956853,0.3489614957538687,213000.0,1.0,10.0,276444100.0,47.3,18.6635
2020-06-15,0.009292338883971503,0.2504472709297181,0.2810547449884228,0.2710241311539798,1473000.0,0.0,15.0,135782700.0,34.4,38.3695
2020-08-07,0.0007176558901312433,0.24714642335942172,0.2696540549417358,0.2224945390418223,1044000.0,4.0,7.0,57308300.0,22.21,28.545833333333334
2020-09-01,0.009374512616855664,0.2468378849046492,0.2582543433825153,0.23604331810652263,881000.0,1.0,1.0,54908700.0,26.12,27.084166666666665
2020-10-15,-0.001236624992091663,0.24616691558322296,0.2633712561698636,0.2383327967931247,839000.0,3.0,15.0,60357700.0,26.97,25.540000000000003
2020-11-11,0.007401094465287598,0.246021145446829,0.2378037284098546,0.22112385695382358,737000.0,2.0,11.0,58649000.0,23.45,27.770833333333332
2020-06-16,0.019064796394958734,0.24816577544964957,0.2374774581207008,0.2693927797082108,1473000.0,1.0,16.0,137627500.0,33.67,37.830000000000005
2020-09-17,-0.008834169410848301,0.24670730127959695,0.24201065659357668,0.2451605314062017,861000.0,3.0,17.0,91523300.0,26.46,26.2
2020-09-28,0.016472920894391438,0.2444125392191029,0.2447891739468933,0.24993590487310566,795000.0,0.0,28.0,64584600.0,26.19,25.713833333333334
2020-10-22,0.005470302031014506,0.2446324531296722,0.24562139083430118,0.24249388123016427,804000.0,3.0,22.0,55399300.0,28.11,25.815
2020-10-26,-0.018652798981191935,0.24870092014659562,0.2533450054716092,0.2597419301403638,776000.0,0.0,26.0,91473000.0,32.46,25.994833333333336
2020-12-11,-0.0011732754455249226,0.2476370306628692,0.2436372567110397,0.22085403590536304,873000.0,4.0,11.0,57698600.0,23.31,26.407
2020-03-02,0.04239500277583126,0.24909828656806285,0.24912411321628633,0.272594813932435,219000.0,0.0,2.0,238703600.0,33.42,15.952499999999999
2020-10-19,-0.015320186060058241,0.24882079453964376,0.2489112151148997,0.24887141436617244,804000.0,0.0,19.0,68425600.0,29.18,25.617833333333333
2020-02-28,-0.004210390570418001,0.2507673380315793,0.2550646188292854,0.27326089980209267,222000.0,4.0,28.0,384975800.0,40.11,15.6615
2020-11-09,0.012487374172080939,0.2514318124876734,0.2492881611424446,0.2308596417061599,737000.0,0.0,9.0,172304200.0,25.75,27.680999999999997
2020-11-12,-0.009748265567619341,0.25067582577236736,0.25028741546853983,0.22585030753583926,737000.0,3.0,12.0,67546200.0,25.35,27.817666666666664
2020-09-16,-0.003976517295305908,0.2513155868178341,0.24429897899987818,0.2426526315891266,861000.0,2.0,16.0,82096000.0,26.04,26.281833333333335
2020-11-17,-0.005392819924338741,0.25098084120196684,0.23785299580876912,0.2166414984106271,738000.0,1.0,17.0,66111000.0,22.71,27.828166666666668
2020-11-10,-0.0014676519565378092,0.24846520733790137,0.22803162470151417,0.2241540442658181,737000.0,1.0,10.0,85552000.0,24.8,27.738500000000002
2020-11-30,-0.004436960348637204,0.2444643617774277,0.22286435107472297,0.20502327357220393,737000.0,0.0,30.0,83872700.0,20.57,27.3645
2020-12-02,0.0021015550702176513,0.244540022608599,0.22057684379598558,0.21441277114215215,737000.0,2.0,2.0,45927000.0,21.17,27.026666666666664
2020-11-16,0.012405284648067505,0.23832865009021778,0.2145085775480567,0.21231130034948212,738000.0,0.0,16.0,74541100.0,22.45,27.822499999999998
2020-12-04,0.00858072434519022,0.23587619612030758,0.21459430662912227,0.21707014381595507,737000.0,4.0,4.0,50749900.0,20.79,26.752499999999998
2020-12-03,-0.00027269182287157506,0.2351708227869393,0.21115876291750252,0.20697632570771932,737000.0,3.0,3.0,62882000.0,21.28,26.901166666666665
2020-12-14,-0.004487213444554931,0.2348376906566917,0.21589699045127692,0.22871441124107583,886000.0,0.0,14.0,69216200.0,24.72,26.388500000000004
2020-12-18,-0.008254469652490694,0.23410383979129323,0.21745205177371826,0.222188077754359,886000.0,4.0,18.0,136542300.0,21.57,26.007833333333334
2020-12-23,0.0008982377037230437,0.23438951640231276,0.22047154018307258,0.22740874239625378,815000.0,2.0,23.0,46201400.0,23.31,25.9055
2020-12-31,0.005067958378704411,0.2321416726638579,0.2210455549123224,0.21994021746220388,773000.0,3.0,31.0,78520700.0,22.75,25.467
2021-01-05,0.006863719357363926,0.23147393066532018,0.22574433125845278,0.2304702074383715,803000.0,1.0,5.0,66426200.0,25.34,25.43183333333333
2021-01-07,0.014748206051651473,0.22994092303368213,0.2232433964056512,0.2162097369770678,803000.0,3.0,7.0,68766800.0,22.37,25.387999999999998
2021-01-08,0.00568154496540277,0.2285656121072762,0.221253189024626,0.21223704084923323,803000.0,4.0,8.0,71677200.0,21.56,25.312833333333334
2020-12-21,-0.003581920793244986,0.2271781225554281,0.2216148725453165,0.22921715999970627,815000.0,0.0,21.0,96386700.0,25.16,25.9875
2020-12-28,0.008554130022419747,0.22686224451130846,0.22040777283982194,0.21390471893473093,773000.0,0.0,28.0,39000400.0,21.7,25.7415
2021-01-04,-0.013707502936165865,0.22501834126432307,0.22071951985189892,0.23202894249875647,803000.0,0.0,4.0,110210800.0,26.97,25.448833333333333
2020-12-22,-0.0016868321809188484,0.22405016542188794,0.22299188162300534,0.22757154583259992,815000.0,1.0,22.0,47949000.0,24.23,25.954833333333333
2020-12-30,0.0014257827784766952,0.22167453776869825,0.22474389173954248,0.22099709143191879,773000.0,2.0,30.0,49455300.0,22.77,25.579166666666666
2021-01-06,0.005960712188740643,0.22145462093918125,0.2241047540309585,0.2260214714567864,803000.0,2.0,6.0,107997700.0,25.07,25.433
2020-12-16,0.0015681223959095147,0.2209258599438212,0.2241673233715959,0.21421756563791797,886000.0,2.0,16.0,58420500.0,22.5,26.234333333333332
2020-12-29,-0.0019096115324705447,0.21976484605106722,0.2211836000615524,0.21711032594853893,773000.0,1.0,29.0,53680500.0,23.08,25.665666666666667
2020-12-17,0.00557638597445326,0.21939195509108186,0.2173568703532224,0.20843789729094986,886000.0,3.0,17.0,64119500.0,21.93,26.1235
